p,s,r
214.8317135,0.042110904,0.426928915
258.6244004,0.046190917,0.512247927
122.9208825,0.028747614,0.238799404
243.0890588,0.038609231,0.469668192
245.9530344,0.048468041,0.492025785
219.4333537,0.044916255,0.419638101
191.3792087,0.040104319,0.364066705
116.31637,0.033140821,0.237160833
273.5311509,0.039469996,0.523690857
80.97462047,0.022553459,0.166187118
83.17124726,0.023596452,0.170971341
123.4121514,0.040424028,0.249731447
211.479137,0.03098971,0.41652794
278.8506524,0.041522471,0.550563856
136.3207744,0.048672357,0.270210127
161.1860206,0.028204131,0.325672256
105.181636,0.03736747,0.206115452
185.317534,0.031375178,0.374232913
230.7107617,0.048380923,0.474939848
190.4321738,0.039249114,0.35514754
278.3927565,0.047640606,0.5637922
162.0295843,0.020382494,0.313864763
111.1444273,0.049353835,0.230056898
158.0561487,0.023153613,0.315195005
155.12959,0.037155155,0.289249729
138.9797467,0.045110914,0.298720199
137.0986535,0.02308493,0.278777792
121.2026773,0.036224939,0.259610881
95.91712676,0.043149065,0.186093919
183.1651806,0.045332966,0.388309224
203.6221948,0.031477011,0.377239321
179.0936815,0.04989429,0.384162639
152.498606,0.038285608,0.279476917
50.04797589,0.035532915,0.110007108
76.61678756,0.04889848,0.156465082
217.9940314,0.048707003,0.460570232
50.72458401,0.038939889,0.11803959
272.2063468,0.038641044,0.503090979
153.6831141,0.031981367,0.323340543
166.8926296,0.047928035,0.303680348
260.0133553,0.042621402,0.533498596
110.1370043,0.017797571,0.225637829
227.6811876,0.024658008,0.43543538
107.7775197,0.017435876,0.197617854
192.6061956,0.03937475,0.350495839
147.965522,0.044049383,0.324021779
194.7346438,0.049822636,0.353074874
181.2096368,0.026527279,0.333506353
199.7662187,0.038301337,0.363578617
124.713566,0.030261721,0.268155214
65.96724302,0.030877009,0.153564015
137.3169846,0.048934542,0.246316063
284.0182948,0.029124408,0.54114924
79.34796205,0.036480959,0.142690154
279.5439109,0.044710177,0.577113418
147.2628818,0.034187025,0.262509283
89.45890022,0.040289965,0.213272751
138.3345678,0.037097324,0.244950524
244.16554,0.027723235,0.485614505
277.4240191,0.026819294,0.532057726
202.1508377,0.041998081,0.433645333
210.9382146,0.039313343,0.447405881
81.33664069,0.035134292,0.140418257
145.8933414,0.043438715,0.253925483
259.6115701,0.033815305,0.471561658
331.5011753,0.047331247,0.59807471
64.00573373,0.02980848,0.157525511
60.26690309,0.046592712,0.100680123
71.49472914,0.041543817,0.120413186
88.85352759,0.046502469,0.224186993
97.36227338,0.028642376,0.167927095
268.1087443,0.049671465,0.572452866
77.83079157,0.044955082,0.128487733
164.2570965,0.033724391,0.287237064
170.4185569,0.034686099,0.298063488
193.451335,0.02468212,0.395741564
148.5358324,0.04372518,0.342028797
200.5979834,0.047101729,0.346230995
83.33130443,0.040348021,0.135463722
234.7367674,0.03597584,0.493955102
87.59699909,0.035022247,0.143843853
194.5536582,0.046267614,0.435588006
88.69793509,0.041235825,0.143336314
73.25511244,0.019922547,0.124026133
117.6111912,0.038540464,0.195357132
92.83109338,0.049995941,0.145985275
154.8307395,0.046686781,0.258851774
102.9257556,0.03534064,0.169817129
293.6390084,0.025126058,0.56875161
287.5929176,0.032071189,0.520581899
135.8210311,0.038341967,0.314742962
220.1775796,0.035782593,0.386122142
235.3477701,0.021327907,0.463011777
249.4011427,0.043640215,0.537190855
185.1512629,0.049184002,0.311042097
94.47192076,0.045086161,0.148481657
265.4835967,0.038879487,0.468143012
184.323955,0.045174321,0.418697097
62.39175286,0.042450223,0.180273404
142.0543164,0.034134049,0.322511138
