P,H,Qin,Qout
3.76E+01,1.33E+01,3.02E+06,2.69E+06
2.53E+01,1.42E+01,3.02E+06,2.73E+06
3.28E+01,1.54E+01,3.02E+06,2.74E+06
4.42E+01,1.45E+01,3.03E+06,2.77E+06
3.74E+01,1.57E+01,3.06E+06,2.76E+06
7.62E+01,1.69E+01,3.09E+06,2.75E+06
2.25E+02,1.75E+01,3.10E+06,2.74E+06
6.50E+01,1.49E+01,3.14E+06,2.79E+06
1.09E+02,1.62E+01,3.16E+06,2.78E+06
1.22E+02,1.46E+01,3.21E+06,2.70E+06
7.40E+00,1.62E+01,3.12E+06,2.73E+06
6.89E+00,1.65E+01,3.11E+06,2.74E+06
2.91E+01,1.71E+01,3.12E+06,2.71E+06
1.22E+01,1.58E+01,3.11E+06,2.75E+06
2.59E+01,2.00E+01,3.12E+06,2.77E+06
3.71E+01,1.83E+01,3.11E+06,2.79E+06
3.49E+01,1.81E+01,3.12E+06,2.79E+06
7.69E+01,1.76E+01,3.12E+06,2.80E+06
3.49E+02,1.36E+01,3.09E+06,2.75E+06
1.04E+02,1.35E+01,3.16E+06,2.73E+06
2.30E+02,1.18E+01,3.18E+06,2.78E+06
2.48E+02,9.94E+00,3.21E+06,2.74E+06
7.88E+00,7.30E+00,3.27E+06,2.71E+06
1.22E+01,9.04E+00,3.26E+06,2.73E+06
7.73E+00,7.82E+00,3.21E+06,2.71E+06
7.84E+00,1.14E+01,3.16E+06,2.70E+06
5.22E+01,1.16E+01,3.18E+06,2.72E+06
7.09E+01,9.45E+00,3.13E+06,2.73E+06
8.87E+01,1.13E+01,3.12E+06,2.78E+06
8.80E+01,1.12E+01,3.23E+06,2.77E+06
1.72E+02,1.19E+01,3.13E+06,2.77E+06
2.26E+02,1.07E+01,3.13E+06,2.79E+06
2.22E+02,1.13E+01,3.13E+06,2.78E+06
4.22E+01,9.46E+00,3.18E+06,2.80E+06
6.20E+01,1.10E+01,3.21E+06,2.78E+06
6.13E+00,1.12E+01,3.16E+06,2.78E+06
6.18E+00,1.33E+01,3.13E+06,2.80E+06
1.76E+01,1.12E+01,3.12E+06,2.83E+06
6.52E+00,1.35E+01,3.10E+06,2.88E+06
2.95E+01,1.23E+01,3.08E+06,2.89E+06
3.17E+01,1.40E+01,3.04E+06,2.88E+06
1.22E+02,1.44E+01,3.07E+06,2.90E+06
1.18E+02,1.42E+01,3.17E+06,2.86E+06
2.03E+02,1.05E+01,3.17E+06,2.86E+06
2.63E+02,1.15E+01,3.14E+06,2.89E+06
3.41E+01,1.07E+01,3.22E+06,2.85E+06
2.33E+01,1.09E+01,3.22E+06,2.84E+06
7.10E+00,1.27E+01,3.20E+06,2.85E+06
1.01E+01,1.32E+01,3.16E+06,2.87E+06
5.86E+01,1.39E+01,3.20E+06,2.88E+06
1.43E+02,1.35E+01,3.18E+06,2.90E+06
2.56E+01,1.27E+01,3.16E+06,2.93E+06
2.43E+01,1.24E+01,3.13E+06,2.94E+06
9.77E+01,1.40E+01,3.15E+06,2.95E+06
1.22E+02,1.48E+01,3.23E+06,2.88E+06
4.24E+02,1.03E+01,3.21E+06,3.02E+06
1.83E+02,8.54E+00,3.30E+06,2.86E+06
5.39E+01,9.41E+00,3.26E+06,2.80E+06
4.77E+01,9.82E+00,3.21E+06,2.77E+06
7.36E+00,1.09E+01,3.19E+06,2.76E+06
