Time,P,PE,
Jan-21,4.76E+01,114.17,
Feb-21,3.53E+01,117.88,
Mar-21,4.28E+01,151.24,
Apr-21,5.42E+01,144.36,
May-21,4.74E+01,135.6,
Jun-21,8.62E+01,114.89,
Jul-21,2.35E+02,100.02,
Aug-21,7.50E+01,90.76,
Sep-21,1.19E+02,98.69,
Oct-21,1.32E+02,113.83,
Nov-21,1.74E+01,112.58,
Dec-21,1.69E+01,121.8,
Jan-22,3.91E+01,117.05,
Feb-22,2.22E+01,114.01,
Mar-22,3.59E+01,141.51,
Apr-22,4.71E+01,140.28,
May-22,4.49E+01,152.75,
Jun-22,8.69E+01,126.37,
Jul-22,3.59E+02,90.19,
Aug-22,1.14E+02,88.55,
Sep-22,2.40E+02,89.24,
Oct-22,2.58E+02,104.19,
Nov-22,1.79E+01,116.86,
Dec-22,2.22E+01,116.58,
Jan-23,1.77E+01,124.63,
Feb-23,1.78E+01,125.73,
Mar-23,6.22E+01,130.1,
Apr-23,8.09E+01,139.32,
May-23,9.87E+01,142.98,
Jun-23,9.80E+01,111.54,
Jul-23,1.82E+02,93.72,
Aug-23,2.36E+02,87.56,
Sep-23,2.32E+02,92.77,
Oct-23,5.22E+01,107.97,
Nov-23,7.20E+01,103.62,
Dec-23,1.61E+01,117.22,
Jan-24,1.62E+01,120.55,
Feb-24,2.76E+01,110.81,
Mar-24,1.65E+01,138.54,
Apr-24,3.95E+01,140.42,
May-24,4.17E+01,141.84,
Jun-24,1.32E+02,105,
Jul-24,1.28E+02,95.56,
Aug-24,2.13E+02,91.5,
Sep-24,2.73E+02,86.87,
Oct-24,4.41E+01,113.75,
Nov-24,3.33E+01,114.19,
Dec-24,1.71E+01,118.05,
Jan-25,2.01E+01,122.38,
Feb-25,6.86E+01,113.7,
Mar-25,1.53E+02,130.12,
Apr-25,3.56E+01,139.01,
May-25,3.43E+01,147.2,
Jun-25,1.08E+02,107.59,
Jul-25,1.32E+02,99.33,
Aug-25,4.34E+02,89.51,
Sep-25,1.93E+02,92.63,
Oct-25,6.39E+01,118.77,
Nov-25,5.77E+01,112.7,
Dec-25,1.74E+01,123.45,
